TEHBInnTier1FamilyMOOP,State
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,350 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
,AZ
,AZ
,AZ
,AZ
Not Applicable,AZ
$0 ,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
$0 ,AZ
Not Applicable,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,350 ",AZ
"$9,000 ",AZ
$0 ,AZ
"$9,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$8,500 ",AZ
"$2,800 ",AZ
"$1,150 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$9,000 ",AZ
"$3,000 ",AZ
"$5,000 ",AZ
$0 ,AZ
"$5,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$4,500 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,000 ",AZ
"$12,700 ",AZ
"$12,000 ",AZ
"$12,000 ",AZ
"$4,500 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
"$4,500 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$4,500 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$2,000 ",AZ
"$12,700 ",AZ
"$12,700 ",AZ
$0 ,AZ
"$12,700 ",AZ
"$10,400 ",AZ
